17																		
#n palm	palmol stear olein linol arah	linole eikos	NA	Ca	SA	Si	IS	CS	EL	WL Um								
70.5	59.6	25.6	25.7	74.6	43.1	59.2	55.4	0	0	1	0	0	0	0	0	0	SA	164
71.4	68.7	24.2	20.7	91.9	44.4	56.3	51.8	0	0	1	0	0	0	0	0	0	SA	165
52.5	46.4	24.7	33.7	80.3	48.6	60.2	58.9	0	0	1	0	0	0	0	0	0	SA	166
66.6	62.3	24.7	28.2	73.9	43.1	57.3	50	0	0	1	0	0	0	0	0	0	SA	167
80.7	69.1	32.7	18.1	77.8	37.5	53.4	39.3	0	0	1	0	0	0	0	0	0	SA	168
73.2	64.2	16.6	22.3	80.3	38.9	58.3	41.1	0	0	1	0	0	0	0	0	0	SA	169
67.3	55.5	12.1	22.4	90	43.1	60.2	44.6	0	0	1	0	0	0	0	0	0	SA	170
75.6	62.6	20.2	22.9	78.1	33.3	53.4	37.5	0	0	1	0	0	0	0	0	0	SA	171
67.4	55.1	20.6	34.6	63.3	43.1	55.3	51.8	0	0	1	0	0	0	0	0	0	SA	172
71.9	54.3	28.3	26.6	72.9	45.8	56.3	51.8	0	0	1	0	0	0	0	0	0	SA	173
80.4	55.5	65.5	20.1	65.7	59.7	88.3	50	0	0	1	0	0	0	0	0	0	SA	174
63.8	58.9	45.3	32.6	56.9	50	78.6	66.1	0	0	1	0	0	0	0	0	0	SA	175
76.4	54.7	83	17.8	66.4	58.3	89.3	60.7	0	0	1	0	0	0	0	0	0	SA	176
59.8	52.1	19.7	38.2	65.3	48.6	56.3	46.4	0	0	1	0	0	0	0	0	0	SA	177
58	52.8	21.1	39.8	68.5	40.3	38.8	28.6	0	0	1	0	0	0	0	0	0	SA	178
67.5	54	28.3	40.8	49.9	50	65	53.6	0	0	1	0	0	0	0	0	0	SA	179
66	59.2	10.3	31.5	74.8	36.1	70.9	30.4	0	0	1	0	0	0	0	0	0	SA	180
51.3	46.8	14.8	53.4	49.3	37.5	52.4	35.7	0	0	1	0	0	0	0	0	0	SA	181
99.7	81.5	1.8	6.5	84.6	59.7	58.3	37.5	0	0	1	0	0	0	0	0	0	SA	182
89.8	90.6	6.3	15.5	74.8	37.5	58.3	44.6	0	0	1	0	0	0	0	0	0	SA	183
82.9	59.2	18.4	20.9	69.4	69.4	82.5	57.1	0	0	1	0	0	0	0	0	0	SA	184
78.9	58.5	19.3	23.9	74.2	45.8	62.1	37.5	0	0	1	0	0	0	0	0	0	SA	185
70.1	58.1	8.5	33.7	63.8	47.2	68	25	0	0	1	0	0	0	0	0	0	SA	186
60.7	53.2	17.5	38	64.9	41.7	56.3	51.8	0	0	1	0	0	0	0	0	0	SA	187
72	60.4	0	33.4	68.6	34.7	46.6	32.1	0	0	1	0	0	0	0	0	0	SA	188
98.8	84.2	46.2	0	88.3	45.8	66	46.4	0	0	1	0	0	0	0	0	0	SA	189
100.6	77.7	1.8	5.5	84.8	56.9	77.7	37.5	0	0	1	0	0	0	0	0	0	SA	190
69.4	64.9	16.6	32	60.1	69.4	66	76.8	0	0	1	0	0	0	0	0	0	SA	191
80.6	72.1	43.5	18	74.1	43.1	75.7	44.6	0	0	1	0	0	0	0	0	0	SA	192
58.6	53.6	18.4	39.8	68.5	40.3	36.9	28.6	0	0	1	0	0	0	0	0	0	SA	193
86	71.3	25.1	20.5	71.9	25	48.5	32.1	0	0	1	0	0	0	0	0	0	SA	194
87.1	85.3	19.3	19.2	68.6	34.7	64.1	33.9	0	0	1	0	0	0	0	0	0	SA	195
89.9	100	20.2	14.6	71.5	36.1	54.4	44.6	0	0	1	0	0	0	0	0	0	SA	196
101.6	98.1	37.7	3.2	75	29.2	57.3	44.6	0	0	1	0	0	0	0	0	0	SA	197
95	92.5	11.2	12.7	72.7	38.9	55.3	55.4	0	0	1	0	0	0	0	0	0	SA	198
71.9	70.9	10.8	31.9	62.1	50	73.8	44.6	0	0	1	0	0	0	0	0	0	SA	199
96.3	83.4	9.9	9.4	74	68.1	97.1	62.5	0	0	1	0	0	0	0	0	0	SA	200
96.2	96.2	36.8	9.4	73.2	40.3	55.3	23.2	0	0	1	0	0	0	0	0	0	SA	201
91.4	89.4	28.3	12.8	73.5	51.4	49.5	48.2	0	0	1	0	0	0	0	0	0	SA	202
78.8	87.5	30	15.2	80.4	47.2	68.9	53.6	0	0	1	0	0	0	0	0	0	SA	203
74	78.1	18.8	17.9	84.7	47.2	68	64.3	0	0	1	0	0	0	0	0	0	SA	204
95.1	96.2	8.1	6.6	84.3	40.3	58.3	46.4	0	0	1	0	0	0	0	0	0	SA	205
75.8	56.2	14.8	28.9	69.1	65.3	54.4	26.8	0	0	1	0	0	0	0	0	0	SA	206
